Cost Center,Item1,Item2,Frequency,Total Revenue
Hospital B,CHIPS MISS VICKIES SEA SALT VIN 1 3/8OZ,WRAP THE BIG ITALY,3,19.139999270439148
Hospital B,CHIPS MISS VICKIES SEA SALT VIN 1 3/8OZ,SIMPLY TUNA,3,19.139999270439148
Hospital B,IMP -SUN CHIPS GARDEN SALSA,SANDWICH PBJ GRANOLA,3,19.139999270439148
Hospital B,CHEETOS FLAMIN HOT,WRAP ROASTED TURKEY ON TOMATO BASIL,3,19.139999270439148
Hospital B,ROLD GOLD PRETZELS TINY TWISTS,SANDWICH EGG SALAD,2,19.139999270439148
Hospital B,ROLD GOLD PRETZELS TINY TWISTS,WRAP THE BIG ITALY,3,19.139999270439148
Hospital B,BAKED LAYS,ENTREE 4.99,1,19.139999270439148
Hospital B,COKE ZERO BOTTLE 20 OZ,PARFAIT YOGURT BLUEBERRIES & GRANOLA,3,19.139999270439148
Hospital B,CHIP LAYS PLAIN,WRAP SONOMA CHICKEN SALAD,3,19.139999270439148
Hospital B,CHIP BAKED LAYS PLN,WRAP ROASTED TURKEY ON TOMATO BASIL,3,19.139999270439148
Hospital B,CHIPS MISS VICKIES SEA SALT VIN 1 3/8OZ,WRAP THE CLUB,3,19.139999270439148
Hospital B,DESSERT VANILLA GODDESS,LARGE M&M COOKIE,3,19.12999987602234
Hospital B,COFFEE 12OZ,SMART WATER,2,19.12000036239624
Hospital B,ADD CHEESE,ENTREE 4.29,4,19.119999885559082
Hospital B,NUT HARVEST MIXED NUTS,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,4,19.119999885559082
Hospital B,BAKED LAYS,PIZZA 1 SLICE MEAT,2,19.109999656677246
Hospital B,BOTTLE FANTA STRAWBERRY 20OZ,COFFEE 20OZ,3,19.109999656677246
Hospital B,BISCUIT W/GRAVY,BOTTLE GOLD PEAK LEMON ICED TEA 18.5OZ,3,19.109999656677246
Hospital B,BOTTLE DR. PEPPER 20OZ,BOTTLE GOLD PEAK SWEETENED ICED TEA 18.5OZ,3,19.109999656677246
Hospital B,BOTTLE DR. PEPPER 20OZ,BOTTLE GOLD PEAK UNSWEETENED ICED TEA 18.5OZ,3,19.109999656677246
Hospital A,PUMPKIN SPICE COOKIES,RICE KRISPIES,1,19.100000143051147
Hospital B,BOTTLE DR. PEPPER 20OZ,ROLD GOLD PRETZELS TINY TWISTS,3,19.08999991416931
Hospital B,CANDY M & M PEANUT,CHEETOS CRUNCHY,4,19.059999704360962
Hospital B,BOTTLE GOLD PEAK LEMON ICED TEA 18.5OZ,SANDWICH TURKEY & CHEDDAR BLT,3,19.059999227523804
Hospital B,CORE POWER HP MILK SHAKE CHOC 14 OZ,YOGURT YOPLAIT LT PEACH,2,19.030000686645508
Hospital B,GRILLED CHEESE,WATER SMARTWATER ALKALINE 33.8OZ,2,19.02999997138977
Hospital B,DESSERT OREO DELIGHT,TOPO CHICO TWIST OF LIME 20OZ,3,19.02999973297119
Hospital B,BREAKFAST TACO,YOGURT YOPLAIT BLUEBERRY REG,3,19.019999980926514
Hospital B,CHICKEN BREAST GRILLED,CHIP LAYS PLAIN,4,19.019999742507935
Hospital A,ADD A COOKIE,TACO BAR COMBO,1,18.979999542236328
Hospital B,ADD CHEESE,TOPO CHICO TWIST OF LIME 20OZ,7,18.96999979019165
Hospital A,BUDDHA BOWL,SOUP 16OZ,1,18.96999955177307
Hospital A,RED BULL SF 12OZ,SUPERFOOD SALAD,2,18.96999955177307
Hospital A,GHIRARDELLI DARK CHOCOLATE SEA SALT,TACO BAR COMBO,1,18.96999955177307
Hospital A,BUDDHA BOWL,CHOC BAG 2.99,1,18.96999955177307
Hospital B,SABOR CAFE,SNACK BOX CHICKEN SALAD SNACKER,2,18.969999313354492
Hospital B,CARVED-DELI,J&O CHICKEN BLT,1,18.969999313354492
Hospital A,ADD A COOKIE,BVC-RED BULL TROPICAL,3,18.960000038146973
Hospital A,CARVED DELI SHL,DOLCETTO COOKIES & CREAM,2,18.959999561309814
Hospital B,FSTG TORTILLA CHIPS JALAPENO,SALAD CHICKEN CAESAR,2,18.959999561309814
Hospital A,BROOKSIDE BERRY MEDLEY,SALAD CAESAR,2,18.959999561309814
Hospital B,SALAD THE GREEK,SIDE 1.99,2,18.959999561309814
Hospital A,RED BULL SF 12OZ,SALAD CAESAR,2,18.959999561309814
Hospital A,GRABEEZ MEXICALI FIRE,IMP-TGF CASHEWS 4OZ,2,18.959999561309814
Hospital A,GRABEEZ SUNBURST,IMP-TGF CASHEWS 4OZ,2,18.959999561309814
Hospital A,CARVED DELI SHL,DOLCETTO CHOCOLATE ROLLS,2,18.959999561309814
Hospital B,CHICKEN CAESAR WRAP,SNACK BOX 2,2,18.959999561309814
Hospital B,AHA-ORANGE& GRPFRUIT,SALAD THE DELICIOUS SPINACH,2,18.959999561309814
Hospital B,BLUEBERRY AND GRANOLA PARFAIT,CHICKEN CAESAR WRAP,2,18.959999561309814
Hospital B,GRL-TURKEY BURG,NUT HARVEST WHOLE CASHEWS,2,18.959999561309814
Hospital B,GOURMET CAKE,SALAD THE DELUXE GARDEN,2,18.959999561309814
Hospital B,FRESH FRUIT,SNACK BOX CHICKEN SALAD SNACKER,2,18.959999561309814
Hospital B,ENTREE 4.99,OUTTAKES STRAWBERRY YOGURT AND GRAN PARFAIT,1,18.959999322891235
Hospital B,PARFAIT YOGURT STRAWBERRY & VANILLA,WRAP THE CLUB,2,18.959999084472656
Hospital A,ADD A BEVERAGE $1,CANDY LINDT LINDOR CARAMEL STICKS 1.3OZ,4,18.950000047683716
Hospital A,BVC-RED BULL CRANBERRY,FRUIT CUPS,2,18.950000047683716
Hospital B,CHICKEN TENDER 1,MIX IT UP SALAD,2,18.949999570846558
Hospital B,CUCINA ITALIANO,OAK FARMS-2%,2,18.949999570846558
Hospital B,LARGE M&M COOKIE,SANDWICH PBJ GRANOLA,3,18.94999933242798
Hospital A,CHICKEN TENDER BASKET,SOUP 12OZ,2,18.940000534057617
Hospital A,PEPPEMINT CLIFF BAR,YOGURT CUPS,2,18.94000005722046
Hospital B,DESSERT STRAWBERRY SHORTCAKE,GRILLED HAM & CHEESE,2,18.9399995803833
Hospital A,BROWNIES,SALAD CAESAR,2,18.9399995803833
Hospital A,2 FOR 2.49,CANDY LINDT LINDOR CARAMEL STICKS 1.3OZ,2,18.930000066757202
Hospital B,COOKIE NABISCO FIG NEWTON 2 CNT,SIMPLY TUNA,3,18.929999351501465
Hospital A,BARK THINS ALMOND,CANDY LINDT LINDOR BALLS,2,18.919999420642853
Hospital B,MUNCH,QUESADILLA CHEESE,2,18.91000008583069
Hospital B,BOTTLE COKE CHERRY 20OZ,COFFEE 12OZ,3,18.899999856948853
Hospital B,MINUTE MAID APPLE 12 OZ.,MINUTE MAID CRANBERRY GRAPE,5,18.899999856948853
Hospital B,GOLD PEAK TEA,HASH BROWNS,2,18.899999618530273
Hospital B,CHIP DORITO COOL RANCH 1.74OZ,SIDE 1.99,5,18.889999985694885
Hospital B,CHIP DORITOS NACHO CHEESE,SOUP 8 OZ,5,18.889999985694885
Hospital B,BROWNIE,CHEETOS FLAMIN HOT,4,18.889999866485596
Hospital B,BOTTLE SPRITE 20OZ,CHEETOS CRUNCHY,3,18.880000114440918
Hospital B,CEREAL HOT 8OZ,MUFFIN REGULAR,6,18.87000012397766
Hospital B,PHILLY,WATER SMARTWATER ALKALINE 33.8OZ,1,18.869999647140503
Hospital B,SALAD CHICKEN CAESAR,SANDWICH CHICKEN BREAST,1,18.869999647140503
Hospital B,ENTREE 4.99,SANDWICH CHICKEN BREAST,1,18.859999418258667
Hospital B,ENTREE 5.99,GOLD PEAK TEA,1,18.84999942779541
Hospital B,BVC -TOPOCHICO MINERAL WATER-20OZ,CANTALOUPE.,3,18.83999991416931
Hospital B,BAR THINK THIN LEMON DELIGHT,BVC -TOPOCHICO MINERAL WATER-20OZ,3,18.83999991416931
Hospital B,HASH BROWNS,MILK TRUMOO CHOCOLATE 8OZ,5,18.839999675750732
Hospital B,SIDE 1.29,TOASTER SANDWICH,3,18.839999198913574
Hospital B,SIDE 1.29,WRAP ROASTED TURKEY ON TOMATO BASIL,3,18.839999198913574
Hospital B,GRILL TOPPINGS,SALAD THE SIDE,3,18.839999198913574
Hospital B,COKE ZERO BOTTLE 20 OZ,PIZZA CHEESE SLICE,4,18.829999804496765
Hospital B,ADD CHEESE,BISCUIT,6,18.78000020980835
Hospital B,COFFEE 12OZ,PATIENT GUEST MEAL,1,18.77999997138977
Hospital A,BROOKSIDE DARK CHOCOLATE,RIP VAN WAFEL CARAMEL VANILLA,1,18.769999980926514
Hospital B,2 FOR $2,CHICKEN BREAST GRILLED,3,18.769999742507935
Hospital A,CHICHARRONES SMOKEHOUSE BBQ,SALAD CHEF,2,18.769999504089355
Hospital B,FSTG TORTILLA CHIPS SWEET POTATO,SIDE 1.29,7,18.759999632835388
Hospital B,KIT KAT BAR,MUNCH,7,18.759999632835388
Hospital B,FSTG TORTILLA CHIPS SWEET POTATO,MIX IT UP SALAD,2,18.7599995136261
Hospital B,MISS VICKIES ORIG,SABOR CAFE,2,18.7599995136261
Hospital B,CHIPS MISS VICKIES SEA SALT VIN 1 3/8OZ,PASTA STATION,2,18.7599995136261
Hospital B,CHIPS LAYS BBQ,MIX IT UP SALAD,2,18.7599995136261
Hospital B,ENT -PREMIUM SIDE 1.39,PHILLY,2,18.7599995136261
Hospital B,FSTG TORTILLA CHIPS SWEET POTATO,TACO TUESDAY,2,18.7599995136261
Hospital B,FSTG TORTILLA CHIPS JALAPENO,TACO TUESDAY,2,18.7599995136261
Hospital B,CHIPS MISS VICKIES SEA SALT VIN 1 3/8OZ,CUCINA ITALIANO,2,18.7599995136261
Hospital B,MISS VICKIES ORIG,NOODLE SHOP,2,18.7599995136261
Hospital A,CRANBERRY BLONDIE,GREEK BOWL,2,18.7599995136261
Hospital B,CHEETOS FLAMIN HOT,PASTA STATION,2,18.7599995136261
Hospital B,CHIPS MISS VICKIES JAL 1 3/8OZ,NOODLE SHOP,2,18.7599995136261
Hospital B,MISS VICKIES ORIG,TAILGATE.,2,18.7599995136261
Hospital B,CHIP LAYS PLAIN,TAILGATE.,2,18.7599995136261
Hospital B,CHIPS MISS VICKIES JAL 1 3/8OZ,SABOR CAFE,2,18.7599995136261
Hospital B,CHEETOS FLAMIN HOT,SABOR CAFE,2,18.7599995136261
Hospital B,CHIP DORITOS NACHO CHEESE,MEDITERRANEAN,2,18.7599995136261
Hospital B,ROLD GOLD PRETZELS TINY TWISTS,SABOR CAFE,2,18.7599995136261
Hospital B,HARD BOILED EGG,OAK FARMS WHOLE 8OZ,3,18.74999964237213
Hospital B,BOTTLE DR. PEPPER DIET 20OZ,WRAP ROASTED TURKEY ON TOMATO BASIL,3,18.749999284744263
Hospital B,BOTTLE SPRITE 20OZ,ENTREE 4.99,1,18.749999284744263
Hospital A,GRIL LVEGGIE QUESADILLA,SOUP 12OZ,2,18.740000247955322
Hospital B,BURGER CHEESE,CHIPS LAYS BBQ,2,18.740000009536743
Hospital A,BOOM CHICKA POP WHITE CHEDDAR,FRUIT CUPS,2,18.740000009536743
Hospital B,CHIPS SUN HRVST CHEDDAR,QUESADILLA MEAT,2,18.740000009536743
Hospital B,ENTREE 4.79,OAK FARMS FAT FREE HALFPINT,3,18.730000019073486
Hospital A,2 FOR 2.49,BOOM CHICKA POP WHITE CHEDDAR,3,18.729999899864197
Hospital B,CHICKEN TENDERS 3,TWIZZLERS TWISTS,3,18.729999780654907
Hospital B,CHICKEN BREAST GRILLED,PLANTERS- TROPICAL FRUIT & NUT,3,18.729999780654907
Hospital A,BROWNIES,SOUP 12OZ,2,18.72000026702881
Hospital B,BREAD 1.09,CHICKEN TENDERS 3,4,18.71999979019165
Hospital B,CHIP LAYS SR CRM ONION,DESSERT STRAWBERRY SHORTCAKE,3,18.71999979019165
Hospital B,CHIP DORITOS NACHO CHEESE,DESSERT STRAWBERRY SHORTCAKE,4,18.71999979019165
Hospital B,BAKED SWEET POTATO,CHEETOS FLAMIN HOT,2,18.700000047683716
Hospital B,ADD CHEESE,BREAKFAST TACO,4,18.699999809265137
Hospital B,BOTTLE DR. PEPPER DIET 20OZ,CHIP LAYS BBQ,4,18.679999828338623
Hospital B,EGG SCRAMBLE,ENTREE 4.99,1,18.65999937057495
Hospital B,BACON 3 SLICES,GOLD PEAK-EXTRA SWEET,4,18.639999389648438
Hospital B,BOTTLE FANTA STRAWBERRY 20OZ,DESSERT STRAWBERRY SHORTCAKE,3,18.62999975681305
Hospital B,COFFEE 16OZ,WATER VITAMINWATER ZERO MULTI V 20OZ,3,18.609999418258667
Hospital B,BACON 1 SLICE,THINK THIN PUMKPIN SPICE,4,18.600000023841858
Hospital B,BLT,IMP-CANDY BAR,3,18.59999990463257
Hospital B,DUNKIN MOCHA,PHILLY,2,18.56999945640564
Hospital B,BOTTLE GOLD PEAK DIET ICED TEA 18.5OZ,CUCINA ITALIANO,2,18.56999945640564
Hospital A,BEANFIELDS BLACK BEAN,POWER BOWL,2,18.56999945640564
Hospital B,BOTTLE GOLD PEAK LEMON ICED TEA 18.5OZ,SABOR CAFE,2,18.56999945640564
Hospital A,AUTUMN DELIGHT,BEANFIELDS NACHO,1,18.56999945640564
Hospital B,BOTTLE GOLD PEAK UNSWEETENED ICED TEA 18.5OZ,PHILLY,1,18.56999945640564
Hospital A,ADD A BEVERAGE $1,RIP VAN WAFEL COOKIES & CREAM,5,18.5600004196167
Hospital B,KASHI TLC,MEDITERRANEAN,2,18.559999465942383
Hospital B,CARVED-DELI,COOKIES NUTTER BUTTER 1.9Z S S NAB,2,18.559999465942383
Hospital B,BAR QUAKER CHEWY GRANOLA CHOC CHIP 0.84 OZ,CARVED-DELI,2,18.559999465942383
Hospital A,GIANT CANDY BOX,PRETZEL BLEND,2,18.559999465942383
Hospital B,CANDY M & M PEANUT,TAILGATE.,2,18.559999465942383
Hospital B,NABISCO OREO,NOODLE SHOP,2,18.559999465942383
Hospital B,GRILL TOPPINGS,PASTA STATION,2,18.559999465942383
Hospital B,BAR QUAKER CHEWY GRANOLA CHOC CHIP 0.84 OZ,TAILGATE.,2,18.559999465942383
Hospital B,HERSHEY ALMOND,PASTA STATION,2,18.559999465942383
Hospital B,BAR QUAKER CHEWY GRANOLA CHOC CHIP 0.84 OZ,PHILLY,1,18.559999465942383
Hospital B,IMP-CANDY BAR,NOODLE SHOP,2,18.559999465942383
Hospital B,NABISCO OREO,PASTA STATION,2,18.559999465942383
Hospital B,KIT KAT BAR,NOODLE SHOP,2,18.559999465942383
Hospital B,NABISCO OREO,STIR FRIDAY,2,18.559999465942383
Hospital B,SNICKERS BAR,TAILGATE.,2,18.559999465942383
Hospital B,SABOR CAFE,SNICKERS BAR,2,18.559999465942383
Hospital B,SANDWICH TURKEY & SWISS ON CROISSANT,TOPO CHICO TWIST OF LIME 20OZ,2,18.559999465942383
Hospital B,DESSERT OREO DELIGHT,IMPOSSIBLE BURGER ALONE,2,18.559999465942383
Hospital A,KETTLE CHIPS,SALAD CHEF,2,18.559999465942383
Hospital A,RIP VAN WAFEL CARAMEL VANILLA,SANDWICH BFK BISCUIT BITES,1,18.550000190734863
Hospital B,BURGER TURKEY,ENT-BAKED POTATO,3,18.540000200271606
Hospital A,AWAKE BAR CARAMEL,CHICKEN TENDER BASKET,3,18.540000200271606
Hospital B,CORE POWER HP MILK SHAKE CHOC 14 OZ,WATER VITAMINWATER ZERO MULTI V 20OZ,3,18.540000200271606
Hospital B,BURGER CHEESE,KIT KAT BAR,2,18.539999961853027
Hospital A,CHILI DOG,YOGURT CUPS,2,18.539999961853027
Hospital A,CAN MONSTER ENERGY 16OZ,CHICKEN TENDER BASKET,2,18.539999961853027
Hospital B,BURGER CHEESE,IMP -NATURE VALLEY CRUNCHY OATS & HONEY,1,18.539999961853027
Hospital B,BOTTLE FANTA ORANGE 20OZ,ENTREE 4.29,3,18.539999842643738
Hospital B,ENTREE 4.79,IMP -SUN CHIPS GARDEN SALSA,3,18.539999842643738
Hospital B,CHEETOS FLAMIN HOT,PIZZA PERSONAL MEAT,3,18.539999842643738
Hospital B,BOTTLE DR. PEPPER 20OZ,COMBO HALF & HALF,2,18.53999948501587
Hospital B,COFFEE 12OZ,COMBO HALF & HALF,2,18.53999948501587
Hospital B,COFFEE 12OZ,TUKEY PROVOLONE,2,18.53999948501587
Hospital B,BOTTLE SPRITE 20OZ,CHICKEN CAESAR WRAP,2,18.53999948501587
Hospital A,CLIF BAR PUMPKIN PIE,PUMPKIN TURNOVER,3,18.53999948501587
Hospital B,GOLD PEAK TEA,PIZZA PERSONAL MEAT,2,18.52999973297119
Hospital B,PARFAIT YOGURT STRAWBERRY & VANILLA,WATER SMARTWATER 20OZ,2,18.519999742507935
Hospital A,PUMPKIN TURNOVER,RICE KRISPIES,2,18.509999990463257
Hospital B,BROWNIE,LARGE M&M COOKIE,8,18.509999990463257
Hospital B,SIDE 1.99,WATER VITAMINWATER XXX 20OZ,3,18.5099995136261
Hospital B,ONION RINGS,WATER VITAMINWATER XXX 20OZ,3,18.5099995136261
Hospital A,BEANFIELDS NACHO,WHOLE AVOCADO,3,18.5099995136261
Hospital B,ADD DASANI,GRILLED CHEESE,3,18.5099995136261
Hospital B,COFFEE 16OZ,MILK SILK SOYMILK CHOCOLATE 8.25OZ,3,18.5099995136261
Hospital B,BAKED SWEET POTATO,HERSHEY ALMOND,2,18.5
Hospital B,BAKED SWEET POTATO,CANDY REESE PEANUT BUTTER CUPS,2,18.5
Hospital B,BAKED SWEET POTATO,COOKIES NUTTER BUTTER 1.9Z S S NAB,2,18.5
Hospital B,COKE ZERO BOTTLE 20 OZ,FRITO CORN CHIPS,6,18.480000257492065
Hospital B,BISCUIT W/GRAVY,OAK FARMS FAT FREE HALFPINT,4,18.480000257492065
Hospital B,BAKED LAYS,SIDE 1.99,3,18.479999899864197
Hospital B,FSTG TORTILLA CHIPS JALAPENO,SIDE 1.29,6,18.479999780654907
Hospital B,CANDY REESE PEANUT BUTTER CUPS,COKE ZERO BOTTLE 20 OZ,6,18.479999661445618
Hospital B,CINNAMON ROLL,SAUSAGE PATTY,2,18.479999542236328
Hospital B,CARVED-DELI,NUT HARVEST NUT & FRUIT,2,18.46999955177307
Hospital A,BUDDHA BOWL,DEEP RIVER CHIPS SEA SALT VINEGAR,1,18.46999955177307
Hospital B,ADD BURGER PATTY,CARVED-DELI,1,18.46999955177307
Hospital B,NUT HARVEST WHOLE CASHEWS,PHILLY,1,18.46999955177307
Hospital B,J&O -SANDWICH TURKEY & PROVOLONE ON 12 GRAIN,SALAD CHEF W/ RANCH,1,18.469999313354492
Hospital B,2 FOR $2,CANDY M & M PEANUT,5,18.449999809265137
Hospital B,COOKIE NABISCO FIG NEWTON 2 CNT,SNACK BOX CHICKEN SALAD SNACKER,3,18.44999933242798
Hospital B,SMARTWATER 1L,WRAP SOUTHWEST CHICKEN,1,18.43999981880188
Hospital B,DASANI WATER 20OZ,SANDWICH EGG SALAD,3,18.4399995803833
Hospital B,MUFFIN SANDWICH,TOPO CHICO TWIST OF LIME 20OZ,3,18.429999589920044
Hospital B,BAR THINK THIN LEMON DELIGHT,SIDE 1.29,3,18.419999837875366
Hospital A,ENTREE 4.49,"GHIRARDELLI INTENSE DARK CHOCOLATE ""TWILIGHT",3,18.419999361038208
Hospital B,QUESADILLA CHEESE,RECHARGECOOKIE,2,18.40999984741211
Hospital B,SIDE 1.99,YOGURT YOPLAIT BLUEBERRY REG,5,18.40000033378601
Hospital B,DOG TREATS,GOURMET CAKE,5,18.390000104904175
Hospital B,HERSHEY ALMOND,SIDE 1.99,5,18.389999866485596
Hospital B,CHICKEN TENDER 1,TOPO CHICO TWIST OF GRAPEFRUIT 20OZ,5,18.37999987602234
Hospital B,BREAD .99,BVC -TOPOCHICO MINERAL WATER-20OZ,5,18.37999987602234
Hospital B,BACON 3 SLICES,COOKIE NABISCO FIG NEWTON 2 CNT,5,18.37999987602234
Hospital A,DOLCETTO CHOCOLATE,LEMON WAFER BITES,5,18.369999885559082
Hospital A,BROWNIES,ENTREE 4.59,2,18.360000610351562
Hospital B,ENTREE 4.99,YOGURT YOPLAIT LT PEACH,1,18.34999942779541
Hospital A,CHICHARRONES SMOKEHOUSE BBQ,SOUP 12OZ,2,18.34000015258789
Hospital B,DESSERT STRAWBERRY SHORTCAKE,QUESADILLA CHEESE,2,18.34000015258789
Hospital A,CHICHARRONES JALAPENO CHEDDAR,SOUP 12OZ,2,18.34000015258789
Hospital B,SANDWICH PESTO CHICKEN SALAD ON CROISSANT,WATER SMARTWATER 20OZ,2,18.339999675750732
Hospital B,FRIES SWEET POTATO,WRAP ROASTED TURKEY ON TOMATO BASIL,2,18.339999198913574
Hospital B,FRIES SWEET POTATO,SIMPLY TUNA,2,18.339999198913574
Hospital B,WATER VITAMINWATER XXX 20OZ,WRAP THE BIG ITALY,2,18.339999198913574
Hospital B,SANDWICH PBJ GRANOLA,WATER VITAMINWATER XXX 20OZ,2,18.339999198913574
Hospital B,FRIES SWEET POTATO,WRAP THE BIG ITALY,2,18.339999198913574
Hospital B,COFFEE 16OZ,SANDWICH EGG SALAD,2,18.339999198913574
Hospital A,AWAKE BAR CARAMEL,BARK THINS PRETZEL,2,18.339999198913574
Hospital B,IMP-CANDY BAR,WATER SMARTWATER ANTI OX 33.8OZ,3,18.320000410079956
Hospital B,GRILLED HAM & CHEESE,WATER SMARTWATER 20OZ,2,18.320000171661377
Hospital B,ADD DASANI,CHICKEN TENDERS 3,4,18.31999969482422
Hospital B,BOTTLE GOLD PEAK LEMON ICED TEA 18.5OZ,FRIES,4,18.31999969482422
Hospital B,CANDY REESE PEANUT BUTTER CUPS,DESSERT STRAWBERRY SHORTCAKE,3,18.31999969482422
Hospital A,IMP-PEACH RINGS SQAURES,TATOR TOTS,4,18.31999969482422
Hospital A,ADD A COOKIE,WHOLE AVOCADO,4,18.31999969482422
Hospital B,AHA-CITRUS& G. TEA,COFFEE 16OZ,3,18.309999704360962
Hospital B,OMELET,SIDE 1.29,6,18.299999713897705
Hospital B,BLUEBERRY AND GRANOLA PARFAIT,SAUSAGE PATTY,2,18.299999713897705
Hospital B,CHEETOS FLAMIN HOT,ONION RINGS,5,18.289999961853027
Hospital B,CHIPS MISS VICKIES SEA SALT VIN 1 3/8OZ,WATER SMARTWATER 20OZ,4,18.28000020980835
Hospital B,BOTTLE FANTA ORANGE 20OZ,CHEETOS CRUNCHY,4,18.27999997138977
Hospital B,BOTTLEAHA SPARKLING LM/WATERMELOM,HOME FRIES,4,18.27999973297119
Hospital B,HASH BROWNS,MILK SILK SOYMILK VANILLA 8.25OZ,4,18.27999973297119
Hospital B,BAR LUNA CHOCOLATE PEPPERMINT,MIX IT UP SALAD,2,18.269999504089355
Hospital B,BROWNIE,STIR FRIDAY,2,18.269999504089355
Hospital A,FRUIT WHOLE,TATOR TOTS,6,18.260000228881836
Hospital B,DESSERT STRAWBERRY SHORTCAKE,ENTREE 4.99,1,18.25999927520752
Hospital B,CORE POWER HP MILK SHAKE CHOC 14 OZ,MUFFIN REGULAR,3,18.2400004863739
Hospital B,AHA-CITRUS& G. TEA,BURGER TURKEY,3,18.2400004863739
Hospital B,BACON 1 SLICE,MINUTE MAID APPLE 12 OZ.,6,18.239999890327454
Hospital B,DOG TREATS,SIDE 1.29,7,18.239999771118164
Hospital B,KIND FRUIT NUT BB VANILLA,MUFFIN SANDWICH,3,18.239999771118164
Hospital B,SMART WATER,SMARTWATER 1L,1,18.230000257492065
Hospital B,BOTTLE SPRITE 20OZ,TOPO CHICO TWIST OF LIME 20OZ,3,18.209999799728394
Hospital B,COFFEE 16OZ,ENT-BAKED POTATO,3,18.209999799728394
Hospital B,CHIP LAYS BBQ,DESSERT STRAWBERRY SHORTCAKE,3,18.209999799728394
Hospital B,CHIP LAYS BBQ,DESSERT OREO DELIGHT,3,18.209999799728394
Hospital B,KASHI TRAIL MIX,TOPO CHICO TWIST OF LIME 20OZ,2,18.209999799728394
Hospital B,ADD CHEESE,COFFEE 16OZ,3,18.18999934196472
Hospital B,CEREAL HOT 8OZ,MINUTE MAID ORANGE NO PULP,5,18.179999947547913
Hospital A,2 FOR 2.49,SOUP 16OZ,2,18.169999837875366
Hospital B,CORE POWER HP MILK SHAKE CHOC 14 OZ,WRAP THE BIG ITALY,2,18.15999984741211
Hospital B,CORE POWER HP MILK SHAKE VAN 14 OZ,SANDWICH PBJ GRANOLA,2,18.15999984741211
Hospital B,CORE POWER HP MILK SHAKE VAN 14 OZ,WRAP ROASTED TURKEY ON TOMATO BASIL,2,18.15999984741211
Hospital B,SALAD CHICKEN CAESAR,WATER SMARTWATER 20OZ,2,18.15999960899353
Hospital B,BREAD 1.09,CUCINA ITALIANO,2,18.15999960899353
Hospital A,DEVIL EGGS,SUPERFOOD SALAD,2,18.15999960899353
Hospital B,OAK FARMS WHOLE 8OZ,PHILLY,1,18.15999960899353
Hospital A,CARVED DELI SHL,CRANBERRY COOKIE,2,18.15999960899353
Hospital A,PUMPKIN SPICE COOKIES,SUPERFOOD SALAD,2,18.15999960899353
Hospital B,CHICKEN TENDERS 3,SANDWICH CHICKEN SALAD ON WHITE,2,18.15999937057495
Hospital B,CHICKEN BREAST GRILLED,SNACK BOX PROTEIN SNACK BOX,2,18.15999937057495
Hospital B,COFFEE 16OZ,SALMON ENTRÉE,1,18.15999937057495
Hospital B,ENTREE 5.99,GRILLED HAM & CHEESE,1,18.15999937057495
Hospital A,ADD A BEVERAGE $1,BAR KIND MADAGASCAR VANILLA ALMOND,5,18.149999856948853
Hospital B,ENT -PREMIUM SIDE 1.39,GRL-TURKEY BURG,2,18.149999499320984
Hospital B,CHIP DORITO COOL RANCH 1.74OZ,SALMON ENTRÉE,2,18.149999499320984
Hospital B,BURGER TURKEY,GOURMET CAKE,3,18.140000343322754
Hospital B,DESSERT OREO DELIGHT,QUESADILLA CHEESE,2,18.140000343322754
Hospital B,GRILLED HAM & CHEESE,WATER SMARTWATER ANTI OX 33.8OZ,2,18.139999866485596
Hospital B,BURGER,YOPLAIT YOGURT LITE,2,18.139999866485596
Hospital B,BAR LUNA CARAMEL NUT BROWNIE 1.69OZ,TOPO CHICO TWIST OF LIME 20OZ,4,18.12999987602234
Hospital B,BREAD .99,BURGER,2,18.12999987602234
Hospital B,BURGER,COOKIE NABISCO FIG NEWTON 2 CNT,2,18.12999987602234
Hospital B,BOTTLE GOLD PEAK UNSWEETENED ICED TEA 18.5OZ,GOLD PEAK-EXTRA SWEET,4,18.12999939918518
Hospital B,KASHI TRAIL MIX,SMARTWATER 1L,1,18.12000000476837
Hospital B,BISCUIT W/GRAVY,YOGURT YOPLAIT STRAWBERRY,3,18.100000143051147
Hospital B,BELVITA GOLDEN OAT,BISCUIT W/GRAVY,2,18.100000143051147
Hospital B,ENT -PREMIUM SIDE 1.39,WATER VITAMINWATER FOCUS KIWI STRAW 20OZ,4,18.09999942779541
Hospital B,GOLD PEAK-EXTRA SWEET,SAUSAGE PATTY,3,18.09999942779541
Hospital B,CHEETOS FLAMIN HOT,FRIES SWEET POTATO,3,18.09999942779541
Hospital B,CHIP DORITO COOL RANCH 1.74OZ,CHIP LAYS SR CRM ONION,6,18.06999981403351
Hospital B,CHIP DORITOS NACHO CHEESE,CHIPS MISS VICKIES JAL 1 3/8OZ,5,18.06999981403351
Hospital B,CHIPS MISS VICKIES JAL 1 3/8OZ,CHIPS MISS VICKIES SEA SALT VIN 1 3/8OZ,6,18.06999981403351
Hospital B,TAILGATE.,WATER VITAMINWATER ZERO MULTI V 20OZ,2,18.06999945640564
Hospital A,ASIAN MIX IT UP,AWAKE BAR CARAMEL,2,18.06999945640564
